Date,Close,High,Low,Open,Volume,Close_ip,Next_close
2010-01-04,6.440330505371094,6.4550763032980685,6.391278025967366,6.4228762217812925,493729600,6.440330505371094,6.4514665603637695
2010-01-05,6.4514665603637695,6.487879848401319,6.417460413781116,6.458087304295299,601904800,6.4514665603637695,6.34884786605835
2010-01-06,6.34884786605835,6.4770467400542,6.342227121682705,6.45146699312308,552160000,6.34884786605835,6.337109088897705
2010-01-07,6.337109088897705,6.379842571822461,6.2910660382072985,6.372319000569361,477131200,6.337109088897705,6.379240036010742
2010-01-08,6.379240036010742,6.3798423234804025,6.291367539745052,6.328682844536467,447610800,6.379240036010742,6.322966575622559
2010-01-11,6.322966575622559,6.409936656739424,6.2730108613843925,6.403917799170273,462229600,6.322966575622559,6.251042366027832
2010-01-12,6.251042366027832,6.312734855829747,6.211920995111912,6.295279766151516,594459600,6.251042366027832,6.339216709136963
2010-01-13,6.339216709136963,6.347643110296653,6.14210433388789,6.255557395887626,605892000,6.339216709136963,6.302502155303955
2010-01-14,6.302502155303955,6.333498868494199,6.290163899676365,6.322966270050092,432894000,6.302502155303955,6.197174549102783
2010-01-15,6.197174549102783,6.367805536404338,6.195368891923551,6.34764236456958,594067600,6.197174549102783,6.4713287353515625
2010-01-19,6.4713287353515625,6.475842879462165,6.236599268494877,6.269400843652991,730007600,6.4713287353515625,6.37171745300293
2010-01-20,6.37171745300293,6.486674406258934,6.304608403474319,6.467414465836276,612152800,6.37171745300293,6.261573791503906
2010-01-21,6.261573791503906,6.419264624350618,6.235693511008879,6.382249860636964,608154400,6.261573791503906,5.951008319854736
2010-01-22,5.951008319854736,6.244420751800569,5.933253496278336,6.22275367139185,881767600,5.951008319854736,6.111106872558594
2010-01-25,6.111106872558594,6.160158951875799,6.02443733729753,6.094254474085411,1065699600,6.111106872558594,6.197475433349609
2010-01-26,6.197475433349609,6.431302812541222,6.096361043026214,6.197776376209968,1867110000,6.197475433349609,6.255858421325684
2010-01-27,6.255858421325684,6.337110599470052,6.004576304881323,6.224861702167099,1722568400,6.255858421325684,5.99735164642334
2010-01-28,5.99735164642334,6.184233107244259,5.9795968248137825,6.167080171234537,1173502400,5.99735164642334,5.779775619506836
2010-01-29,5.779775619506836,6.084924808953682,5.725306174385902,6.051220016650193,1245952400,5.779775619506836,5.860124111175537
2010-02-01,5.860124111175537,5.898343037747902,5.756903156230077,5.789103227659476,749876400,5.860124111175537,5.894131660461426
2010-02-02,5.894131660461426,5.907975031567911,5.819499842590746,5.895636776504988,698342400,5.894131660461426,5.995546817779541
2010-02-03,5.995546817779541,6.024737871610872,5.850796525367367,5.873366836685999,615328000,5.995546817779541,5.779475212097168
2010-02-04,5.779475212097168,5.969666257497655,5.765029956382149,5.920312437390329,757652000,5.779475212097168,5.882093906402588
2010-02-05,5.882093906402588,5.898344820199544,5.7433624677751185,5.796929491149744,850306800,5.882093906402588,5.841770648956299
2010-02-08,5.841770648956299,5.954922785473458,5.8381593336177335,5.889017887716567,478270800,5.841770648956299,5.904062747955322
2010-02-09,5.904062747955322,5.94348505576787,5.860727781315687,5.910984031684571,632886800,5.904062747955322,5.871862888336182
2010-02-10,5.871862888336182,5.916402032892487,5.845982604178523,5.8950346865672,370361600,5.871862888336182,5.978694915771484
2010-02-11,5.978694915771484,6.011196343551841,5.839963468695428,5.864640381948894,550345600,5.978694915771484,6.030154705047607
2010-02-12,6.030154705047607,6.0680726986232685,5.883297816098785,5.961841886968793,655468800,6.030154705047607,6.121038913726807
